id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,participant_id,number,question,response
1,2016-11-22 19:45:33.118018,,,,,,f,,question,1,1,fillerans1,21
2,2016-11-22 19:45:33.34144,,,,,,f,,question,1,2,fillerans2,33
3,2016-11-22 19:45:33.553155,,,,,,f,,question,1,3,fillerans3,20
4,2016-11-22 19:45:34.223096,,,,,,f,,question,1,4,fillerans4,23
5,2016-11-22 19:45:34.848328,,,,,,f,,question,1,5,fillerans5,51
6,2016-11-22 19:45:34.917204,,,,,,f,,question,1,6,fillerans6,23
7,2016-11-22 19:45:35.013687,,,,,,f,,question,1,7,fillerans7,37
8,2016-11-22 19:45:35.135932,,,,,,f,,question,1,8,fillerans8,81
9,2016-11-22 19:45:35.215768,,,,,,f,,question,1,9,fillerans9,94
10,2016-11-22 19:45:35.425273,,,,,,f,,question,1,10,fillerans10,45
11,2016-11-22 19:45:35.504974,,,,,,f,,question,1,11,"",""
12,2016-11-22 19:45:35.612588,,,,,,f,,question,1,12,"",""
13,2016-11-22 19:45:35.689365,,,,,,f,,question,1,13,"",""
14,2016-11-22 19:47:12.106189,,,,,,f,,question,1,1,engagement,10
15,2016-11-22 19:47:12.201381,,,,,,f,,question,1,2,difficulty,8
16,2016-11-22 19:47:12.279783,,,,,,f,,question,1,3,"",""
17,2016-11-22 19:47:12.345903,,,,,,f,,question,1,4,"",""
18,2016-11-22 19:51:37.934316,,,,,,f,,question,2,1,fillerans1,21
19,2016-11-22 19:51:38.432555,,,,,,f,,question,2,2,fillerans2,33
20,2016-11-22 19:51:38.844459,,,,,,f,,question,2,3,fillerans3,20
21,2016-11-22 19:51:39.268395,,,,,,f,,question,2,4,fillerans4,23
22,2016-11-22 19:51:39.685329,,,,,,f,,question,2,5,fillerans5,51
23,2016-11-22 19:51:40.103293,,,,,,f,,question,2,6,fillerans6,23
24,2016-11-22 19:51:40.517929,,,,,,f,,question,2,7,fillerans7,37
25,2016-11-22 19:51:40.936619,,,,,,f,,question,2,8,fillerans8,81
26,2016-11-22 19:51:42.989993,,,,,,f,,question,2,9,fillerans9,94
27,2016-11-22 19:51:43.44122,,,,,,f,,question,2,10,fillerans10,45
28,2016-11-22 19:51:43.857968,,,,,,f,,question,2,11,"",""
29,2016-11-22 19:51:44.269457,,,,,,f,,question,2,12,"",""
30,2016-11-22 19:51:44.68038,,,,,,f,,question,2,13,"",""
31,2016-11-22 19:52:45.120715,,,,,,f,,question,2,1,engagement,10
32,2016-11-22 19:59:31.168132,,,,,,f,,question,3,1,fillerans1,21
33,2016-11-22 19:59:31.476177,,,,,,f,,question,3,2,fillerans2,33
34,2016-11-22 19:59:31.636506,,,,,,f,,question,3,3,fillerans3,20
35,2016-11-22 19:59:31.806518,,,,,,f,,question,3,4,fillerans4,23
36,2016-11-22 19:59:31.975283,,,,,,f,,question,3,5,fillerans5,51
37,2016-11-22 19:59:32.144325,,,,,,f,,question,3,6,fillerans6,23
38,2016-11-22 19:59:32.329508,,,,,,f,,question,3,7,fillerans7,37
39,2016-11-22 19:59:32.514492,,,,,,f,,question,3,8,fillerans8,81
40,2016-11-22 19:59:32.688129,,,,,,f,,question,3,9,fillerans9,94
41,2016-11-22 19:59:32.848341,,,,,,f,,question,3,10,fillerans10,45
42,2016-11-22 19:59:33.031075,,,,,,f,,question,3,11,"",""
43,2016-11-22 19:59:33.199301,,,,,,f,,question,3,12,"",""
44,2016-11-22 19:59:33.369367,,,,,,f,,question,3,13,"",""
45,2016-11-22 20:01:06.632811,,,,,,f,,question,3,1,engagement,8
46,2016-11-22 20:01:06.783585,,,,,,f,,question,3,2,difficulty,5
47,2016-11-22 20:01:06.976093,,,,,,f,,question,3,3,"",""
48,2016-11-22 20:01:07.213758,,,,,,f,,question,3,4,"",""
49,2016-11-22 20:05:49.151866,,,,,,f,,question,6,1,engagement,8
50,2016-11-22 20:05:49.301417,,,,,,f,,question,6,2,difficulty,2
51,2016-11-22 20:05:49.510736,,,,,,f,,question,6,3,"",""
52,2016-11-22 20:11:48.719196,,,,,,f,,question,8,1,engagement,10
53,2016-11-22 20:11:48.808009,,,,,,f,,question,8,2,difficulty,3
54,2016-11-22 20:11:48.878201,,,,,,f,,question,8,3,"",""
55,2016-11-22 20:11:48.9675,,,,,,f,,question,8,4,"",""
