id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,vector_id,info_id,origin_id,destination_id,network_id,receive_time,status
1,2016-11-19 01:06:45.655129,,,,,,f,,1,1,1,2,1,2016-11-19 01:06:45.66116,received
2,2016-11-19 01:06:45.822836,,,,,,f,,4,2,1,3,1,2016-11-19 01:06:45.829282,received
3,2016-11-19 01:07:32.158865,,,,,,f,,3,3,2,3,1,2016-11-19 01:07:32.270943,received
4,2016-11-19 01:07:33.21029,,,,,,f,,3,4,2,3,1,2016-11-19 01:07:33.21927,received
5,2016-11-19 01:07:37.172309,,,,,,f,,2,5,3,2,1,2016-11-19 01:07:37.705916,received
6,2016-11-19 01:07:44.035778,,,,,,f,,2,6,3,2,1,2016-11-19 01:07:44.087746,received
7,2016-11-19 01:07:44.541735,,,,,,f,,2,7,3,2,1,2016-11-19 01:07:44.613337,received
8,2016-11-19 01:07:47.483859,,,,,,f,,2,8,3,2,1,2016-11-19 01:07:47.500346,received
9,2016-11-19 01:08:04.436989,,,,,,f,,3,9,2,3,1,2016-11-19 01:08:04.462213,received
10,2016-11-19 01:08:05.0615,,,,,,f,,3,10,2,3,1,2016-11-19 01:08:05.096416,received
11,2016-11-19 01:08:12.527883,,,,,,f,,2,11,3,2,1,2016-11-19 01:08:12.601582,received
12,2016-11-19 01:08:16.796743,,,,,,f,,2,12,3,2,1,2016-11-19 01:08:16.885356,received
13,2016-11-19 01:08:26.825072,,,,,,f,,2,13,3,2,1,2016-11-19 01:08:26.851071,received
14,2016-11-19 01:08:27.446302,,,,,,f,,2,14,3,2,1,2016-11-19 01:08:27.513091,received
15,2016-11-19 01:08:35.187971,,,,,,f,,3,15,2,3,1,2016-11-19 01:08:35.242802,received
16,2016-11-19 01:08:36.80035,,,,,,f,,3,16,2,3,1,2016-11-19 01:08:36.879351,received
17,2016-11-19 01:08:40.669249,,,,,,f,,2,17,3,2,1,2016-11-19 01:08:40.817071,received
18,2016-11-19 01:09:05.844449,,,,,,f,,3,18,2,3,1,,pending
19,2016-11-19 01:09:07.438347,,,,,,f,,3,19,2,3,1,,pending
20,2016-11-19 01:09:08.224923,,,,,,f,,3,20,2,3,1,,pending
21,2016-11-19 01:09:10.765001,,,,,,f,,3,21,2,3,1,,pending
