id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,participant_id,number,question,response
1,2016-11-20 22:43:57.734229,,,,,,f,,question,2,1,fillerans1,21
2,2016-11-20 22:43:57.80736,,,,,,f,,question,2,2,fillerans2,33
3,2016-11-20 22:43:57.854843,,,,,,f,,question,2,3,fillerans3,20
4,2016-11-20 22:43:57.90937,,,,,,f,,question,2,4,fillerans4,23
5,2016-11-20 22:43:57.963965,,,,,,f,,question,2,5,fillerans5,51
6,2016-11-20 22:43:58.023344,,,,,,f,,question,2,6,fillerans6,22
7,2016-11-20 22:43:58.070368,,,,,,f,,question,2,7,fillerans7,37
8,2016-11-20 22:43:58.121534,,,,,,f,,question,2,8,fillerans8,81
9,2016-11-20 22:43:58.184767,,,,,,f,,question,2,9,fillerans9,""
10,2016-11-20 22:43:58.541727,,,,,,f,,question,2,10,fillerans10,""
11,2016-11-20 22:43:58.579734,,,,,,f,,question,3,1,fillerans1,21
12,2016-11-20 22:43:58.61119,,,,,,f,,question,2,11,"",""
13,2016-11-20 22:43:58.661004,,,,,,f,,question,2,12,"",""
14,2016-11-20 22:43:58.722803,,,,,,f,,question,2,13,"",""
15,2016-11-20 22:43:58.731586,,,,,,f,,question,3,2,fillerans2,33
16,2016-11-20 22:43:58.75835,,,,,,f,,question,1,1,fillerans1,21
17,2016-11-20 22:43:58.882623,,,,,,f,,question,3,3,fillerans3,20
18,2016-11-20 22:43:58.931457,,,,,,f,,question,1,2,fillerans2,33
19,2016-11-20 22:43:59.042863,,,,,,f,,question,3,4,fillerans4,23
20,2016-11-20 22:43:59.109343,,,,,,f,,question,1,3,fillerans3,20
21,2016-11-20 22:43:59.223455,,,,,,f,,question,3,5,fillerans5,51
22,2016-11-20 22:43:59.292053,,,,,,f,,question,1,4,fillerans4,23
23,2016-11-20 22:43:59.378344,,,,,,f,,question,3,6,fillerans6,23
24,2016-11-20 22:43:59.468206,,,,,,f,,question,1,5,fillerans5,51
25,2016-11-20 22:43:59.554564,,,,,,f,,question,3,7,fillerans7,37
26,2016-11-20 22:43:59.666774,,,,,,f,,question,1,6,fillerans6,23
27,2016-11-20 22:43:59.715725,,,,,,f,,question,3,8,fillerans8,81
28,2016-11-20 22:43:59.841724,,,,,,f,,question,1,7,fillerans7,37
29,2016-11-20 22:43:59.867425,,,,,,f,,question,3,9,fillerans9,94
30,2016-11-20 22:44:00.020354,,,,,,f,,question,1,8,fillerans8,81
31,2016-11-20 22:44:00.023993,,,,,,f,,question,3,10,fillerans10,4
32,2016-11-20 22:44:00.181106,,,,,,f,,question,3,11,"",5
33,2016-11-20 22:44:00.197991,,,,,,f,,question,1,9,fillerans9,94
34,2016-11-20 22:44:00.346065,,,,,,f,,question,3,12,"",""
35,2016-11-20 22:44:00.381871,,,,,,f,,question,1,10,fillerans10,45
36,2016-11-20 22:44:00.501819,,,,,,f,,question,3,13,"",""
37,2016-11-20 22:44:00.559383,,,,,,f,,question,1,11,"",""
38,2016-11-20 22:44:00.768157,,,,,,f,,question,1,12,"",""
39,2016-11-20 22:44:00.970014,,,,,,f,,question,1,13,"",""
40,2016-11-20 22:45:41.77575,,,,,,f,,question,2,1,engagement,7
41,2016-11-20 22:45:41.821889,,,,,,f,,question,2,2,difficulty,10
42,2016-11-20 22:45:41.912436,,,,,,f,,question,2,3,"",""
43,2016-11-20 22:45:41.980829,,,,,,f,,question,2,4,"",""
44,2016-11-20 22:45:58.64822,,,,,,f,,question,1,1,engagement,6
45,2016-11-20 22:45:58.830163,,,,,,f,,question,1,2,difficulty,8
46,2016-11-20 22:45:59.048865,,,,,,f,,question,1,3,"",""
47,2016-11-20 22:45:59.279176,,,,,,f,,question,1,4,"",""
48,2016-11-20 22:46:02.642325,,,,,,f,,question,6,1,engagement,1
49,2016-11-20 22:46:02.76002,,,,,,f,,question,6,2,difficulty,1
50,2016-11-20 22:46:02.882051,,,,,,f,,question,6,3,"",""
51,2016-11-20 22:46:03.006515,,,,,,f,,question,6,4,"",""
52,2016-11-20 22:46:24.16475,,,,,,f,,question,3,1,engagement,8
53,2016-11-20 22:46:24.380069,,,,,,f,,question,3,2,difficulty,5
